uid,movid,sim_length,mov_length,sim_duration,mov_duration,start_ts,end_ts,consumption,legs_consumptions,emergency,scenario,recharges,start_osmid,end_osmid,start_charge,stay_charge,start_loc_type,station_recharge_amounts
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212138372,1212142962,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212361407,1212364906,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212414459,1212415914,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212447410,1212451414,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212490621,1212491653,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212534517,1212537815,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212573766,1212576985,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212619899,1212622471,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212660377,1212664373,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1212706340,1212709450,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1212746958,1212751862,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1213051869,1213055258,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1213106319,1213107662,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1213139380,1213142653,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1213180456,1213182926,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1213226133,1213229852,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,8,0.0,4867.101324616671,1158.8090687999997,898.0,1213242417,1213243315,5374509,[5374509],0,3,0,1364164051,1772777278,96768353,40031647,H,[]
115,10,0.0,7366.69220971704,1563.8728320000005,1013.0,1213248936,1213249949,6689622,[6689622],0,3,0,1772777278,1364164051,131425491,0,O,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1213701627,1213702000,40448069,[40448069],0,3,0,1364164051,2207734252,124735869,12064131,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1213743757,1213747225,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,11,0.0,15488.359549985444,3667.351723200001,2455.0,1213783816,1213786271,23635201,[23635201],0,3,0,1364164051,688155134,96768353,40031647,H,[]
115,12,0.0,32217.25941332549,3590.7487595999996,3005.0,1213829557,1213832562,19073854,[19073854],0,3,0,688155134,1364164051,113164799,0,O,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1213869489,1213873625,40448069,[40448069],0,3,0,1364164051,2207734252,94090945,42709055,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1213916491,1213919342,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1213956315,1213960453,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214175404,1214178503,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,13,0.0,2824.823144773329,720.6711263999999,729.0,1214217063,1214217792,3430450,[3430450],0,3,0,1364164051,2355089229,96768353,40031647,H,[]
115,14,0.0,33326.10165241347,7426.760140799998,2233.0,1214228584,1214230817,43215056,[43215056],0,3,0,2355089229,2207734252,133369550,0,O,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214274537,1214276675,40031647,[40031647],0,3,0,2207734252,1364164051,90154494,46645506,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1214302754,1214306335,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214348587,1214351539,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1214388427,1214392068,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214444611,1214447331,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1214475837,1214480815,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214520495,1214523269,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1214570287,1214571115,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,15,0.0,36845.48243760671,6944.869497599995,2305.0,1214651967,1214654272,29330459,[29330459],0,3,0,2207734252,529690767,96351931,40448069,W,[]
115,16,0.0,33342.57131167805,7106.046278399999,2301.0,1214658728,1214661029,31645711,[31645711],0,3,0,529690767,2207734252,107469541,0,O,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214781076,1214788080,40031647,[40031647],0,3,0,2207734252,1364164051,75823830,60976170,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1214830525,1214833066,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1214881653,1214883765,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1215002222,1215002917,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1215039360,1215042430,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,5,0.0,12822.502916709333,6802.6912343999975,1032.0,1215179651,1215182530,40448069,[40448069],0,3,0,1364164051,2207734252,96768353,40031647,H,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1215385441,1215389535,40031647,[40031647],0,3,0,2207734252,1364164051,96351931,40448069,W,[]
115,13,0.0,2824.823144773329,720.6711263999999,729.0,1215426522,1215427725,3430450,[3430450],0,3,0,1364164051,2355089229,96768353,40031647,H,[]
115,14,0.0,33326.10165241347,7426.760140799998,2233.0,1215437935,1215440179,43215056,[43215056],0,3,0,2355089229,2207734252,133369550,0,O,[]
115,3,0.0,39490.25992824493,6927.457356000004,3827.0,1215471601,1215474451,40031647,[40031647],0,3,0,2207734252,1364164051,90154494,46645506,W,[]
126,0,0.0,22204.507195465652,6075.463190400001,1988.0,1210400210,1210402198,21544394,[21544394],0,3,0,6818637734,513519735,136800000,0,O,[]
126,1,0.0,9611.719659049422,19872.00157062858,710.0,1211985192,1211985902,121961730,[121961730],0,3,0,513519735,258970059,115255606,21544394,W,[]
126,3,0.0,20103.70212206288,4256.093692800001,1704.0,1217034061,1217035765,28688494,[28688494],0,3,0,258970059,3524759497,14838270,121961730,H,[]
